earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment,sat_scaled
53236,21790,0.8789,1053,24430,0.3625,0.549,15250,Public,5,10.882490138206446,9.989252319496922,-0.8791421698836224
47384,26623,0.5544,1076,28241,0.5075,0.5306,11750,Public,5,10.7660398979568,10.189568343620936,-0.7240650193753232
68726,32137,0.377,1397,27993,0.1675,0.8969,16666,Public,5,11.137882863673312,10.377794409601698,1.4402726029361566
37871,2544,0.859,1023,14771,0.4843,0.2043,8750,Public,5,10.541940926673426,7.841885928984623,-1.081416714024882
47397,893,0.9303,1030,41295,0.3998,0.3793,9500,Private Nonprofit,5,10.76631421454096,6.795705775173514,-1.0342193203919214
58354,4500,0.6889,1271,58204,0.3543,0.6962,17655,Private Nonprofit,5,10.974283187207462,8.412054873292933,0.5907195175428653
52889,2844,0.4396,1090,51433,0.4467,0.5944,18500,Private Nonprofit,5,10.875950656715467,7.953318346560431,-0.629670232109402
55232,1352,0.8845,1227,60581,0.3596,0.541,14750,Private Nonprofit,5,10.9192977744431,7.210079628170788,0.2940501861356844
49130,1117,0.9328,1129,46801,0.4235,0.4741,18108,Private Nonprofit,5,10.802225125162694,7.0192966537150445,-0.36671332472576423
45954,15243,0.8298,1173,63627,0.1882,0.6941,15500,Private Nonprofit,5,10.735396175137648,9.63194126199375,-0.07004399331858323
44604,1028,0.9646,1115,35726,0.3752,0.3769,12500,Private Nonprofit,5,10.705578820085252,6.9363427358340495,-0.46110811199168544
59993,3414,0.2487,1220,50952,0.2783,0.7846,21750,Private Nonprofit,5,11.001983167731488,8.13593277200489,0.24685279250272377
49716,998,0.383,1072,23079,0.5535,0.2754,15000,Private Nonprofit,5,10.8140820918654,6.906754778648554,-0.7510349585941578
36630,875,0.6596,1130,37561,0.1611,0.4366,11067,Private Nonprofit,5,10.50862285577286,6.775366090936392,-0.35997083992105555
49361,6622,0.7229,1013,20801,0.5228,0.4236,13750,Public,5,10.806915917693338,8.798303718484979,-1.1488415620719687
44317,400,0.591,1075,40721,0.4579,0.4452,15000,Private Nonprofit,5,10.69912362959944,5.993961427306569,-0.7308075041800318
49587,7520,0.5161,1032,21981,0.404,0.4349,15000,Public,5,10.811483981585464,8.925454386826402,-1.0207343507825042
52343,1672,0.9143,1060,45798,0.4133,0.554,17932,Private Nonprofit,8,10.865573491980715,7.422373700986824,-0.8319447762506618
47856,2160,0.6063,1028,21173,0.4039,0.4837,12500,Public,8,10.775951780869727,7.678326356506886,-1.047704290001339
57624,15029,0.866,1102,26433,0.2623,0.6429,13099,Public,8,10.9616944265692,9.61780348274702,-0.548760414452898
59593,2392,0.8587,1111,50674,0.2145,0.3489,12000,Private Nonprofit,8,10.99529339649126,7.780303087908373,-0.4880780512105201
52075,2519,0.9534,985,18410,0.3206,0.4955,11848,Public,8,10.860440266129173,7.832014180505469,-1.3376311366038112
