earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment
34722,4118,NA,NA,20811,0.5562,NA,7000,1,5,10.455128770801894,8.323365694436081
34162,583,NA,NA,16307,0.3416,NA,3500,1,5,10.438869194198006,6.369900982828227
30037,503,NA,NA,13096,0.3978,NA,4875,1,5,10.310185234046838,6.222576268071369
20077,99,NA,NA,NA,0.4936,NA,9753,3,5,9.90733016025358,4.605170185988092
19896,54,NA,NA,NA,0.7386,NA,9500,3,5,9.898273985483241,4.007333185232471
38484,478,0.8342,980,33597,0.5438,0.2564,9500,2,5,10.557997849481156,6.171700597410915
34521,862,NA,NA,12932,0.4109,NA,7000,1,5,10.449323113491568,6.760414691083428
42386,2708,0.7533,1047,24951,0.482,0.4882,12500,1,5,10.654573398016518,7.904334842085095
36376,672,NA,NA,17294,0.4207,NA,4500,1,5,10.501664495504846,6.511745329644728
17412,8,NA,NA,NA,1,NA,NA,3,5,9.764914902672189,2.1972245773362196
41102,4091,0.8046,1050,19048,0.391,0.3788,10750,1,5,10.623812061100866,8.316789127071518
39008,3587,NA,NA,48036,0.4104,0.3432,11000,3,8,10.571522032280997,8.185350223178686
42563,4487,NA,NA,18185,0.1047,NA,9500,1,8,10.658740610253117,8.409162447202533
42786,8052,NA,NA,13214,0.2418,NA,7888,1,8,10.663966225256358,8.993799971795545
27019,112,0.828,NA,55682,0.284,NA,12000,2,8,10.204295601206814,4.727387818712341
22481,334,NA,NA,NA,0.6853,NA,4923,3,8,10.02042578700401,5.814130531825066
38430,2168,NA,NA,NA,0.6254,NA,9500,3,8,10.556593683558889,7.682021510826875
40162,25621,NA,NA,16384,0.2109,NA,9354,1,8,10.600676553922405,10.15120663641638
36526,11534,NA,NA,12931,0.4186,0.3438,8619,1,8,10.505779614751987,9.353141170607854
71958,2017,0.7454,NA,75649,0.216,0.7917,26000,2,8,11.183837894459776,7.609862200913554
24368,315,NA,NA,NA,1,NA,9500,3,8,10.101026075134943,5.755742213586912
